Plot 1 FLIR USB Video

				Bx1.Average
Emissivity				0.949999988079071
Distance				0
Reflected temperature				19.999993896484398
Location X				38
Location Y				26
Size X				6
Size Y				10
Surface (pixels)				60

Date	Time	Milliseconds	Relative time	Bx1.Average
18/02/2022	18:56:46	999	102.432	26.9179850578308
18/02/2022	18:56:47	270	102.703	27.0279348691305
18/02/2022	18:56:47	540	102.973	26.9942272822062
18/02/2022	18:56:47	810	103.243	27.0225786526998
18/02/2022	18:56:48	351	103.784	27.0016196886698
18/02/2022	18:56:48	621	104.054	27.0448262850444
18/02/2022	18:56:48	891	104.324	27.1235222816467
18/02/2022	18:56:49	162	104.595	27.0980279922485
18/02/2022	18:56:49	432	104.865	27.1630979220072
18/02/2022	18:56:49	702	105.135	27.1274840037028
18/02/2022	18:56:49	972	105.405	27.1367824872335
18/02/2022	18:56:50	243	105.676	27.1921957651774
18/02/2022	18:56:50	783	106.216	27.2423104921977
18/02/2022	18:56:51	053	106.486	27.1816221872966
18/02/2022	18:56:51	324	106.757	27.240145556132
18/02/2022	18:56:51	594	107.027	27.2049163500468
18/02/2022	18:56:51	864	107.297	27.190801302592
18/02/2022	18:56:52	135	107.568	27.1989588101705
18/02/2022	18:56:52	405	107.838	27.1279892921448
18/02/2022	18:56:52	675	108.108	27.1728179295858
18/02/2022	18:56:53	216	108.649	27.2130503972371
18/02/2022	18:56:53	486	108.919	27.196631304423
18/02/2022	18:56:53	756	109.189	27.2562394142151
18/02/2022	18:56:54	026	109.459	27.3064986228943
18/02/2022	18:56:54	297	109.73	27.259481048584
18/02/2022	18:56:54	567	110	27.3098302841187
18/02/2022	18:56:54	837	110.27	27.3288151105245
18/02/2022	18:56:55	378	110.811	27.3270364443461
18/02/2022	18:56:55	648	111.081	27.2543587048848
18/02/2022	18:56:55	918	111.351	27.3226248423258
18/02/2022	18:56:56	189	111.622	27.2699712435404
18/02/2022	18:56:56	459	111.892	27.2992158253988
18/02/2022	18:56:56	999	112.432	27.2714117685954
18/02/2022	18:56:57	270	112.703	27.283129119873
18/02/2022	18:56:57	540	112.973	27.3290541648865
18/02/2022	18:56:57	810	113.243	27.3547552108765
18/02/2022	18:56:58	080	113.513	27.3187128067017
18/02/2022	18:56:58	351	113.784	27.2685393651327
18/02/2022	18:56:58	621	114.054	27.3002613385518
18/02/2022	18:56:58	891	114.324	27.2714262962341
18/02/2022	18:56:59	432	114.865	27.2473366737366
18/02/2022	18:56:59	702	115.135	27.2786012331645
18/02/2022	18:56:59	972	115.405	27.3143927574158
18/02/2022	18:57:00	243	115.676	27.3819738388062
18/02/2022	18:57:00	513	115.946	27.3381852149963
18/02/2022	18:57:01	053	116.486	27.2471674283346
18/02/2022	18:57:01	324	116.757	27.2485524813334
18/02/2022	18:57:01	594	117.027	27.2738114674886
18/02/2022	18:57:01	864	117.297	27.2658613522847
18/02/2022	18:57:02	135	117.568	27.3368597348531
18/02/2022	18:57:02	405	117.838	27.3930748939514
18/02/2022	18:57:02	675	118.108	27.328017616272
18/02/2022	18:57:02	945	118.378	27.4075173377991
18/02/2022	18:57:03	486	118.919	27.5261558214823
18/02/2022	18:57:03	756	119.189	27.4899082819621
18/02/2022	18:57:04	026	119.459	27.5247953732808
18/02/2022	18:57:04	297	119.73	27.4989998817444
18/02/2022	18:57:04	567	120	27.5925731023153
18/02/2022	18:57:04	837	120.27	27.5380565007528
18/02/2022	18:57:05	378	120.811	27.5525636355082
18/02/2022	18:57:05	648	121.081	27.4688530286153
18/02/2022	18:57:05	918	121.351	27.4731674830119
18/02/2022	18:57:06	189	121.622	27.5489097913106
18/02/2022	18:57:06	729	122.162	27.5706227938334
18/02/2022	18:57:06	999	122.432	27.5565320650737
18/02/2022	18:57:07	270	122.703	27.5844285011292
18/02/2022	18:57:07	540	122.973	27.5810830116272
18/02/2022	18:57:07	810	123.243	27.6071063359578
18/02/2022	18:57:08	351	123.784	27.6473401705424
18/02/2022	18:57:08	621	124.054	27.6415155728658
18/02/2022	18:57:08	891	124.324	27.6671689669291
18/02/2022	18:57:09	162	124.595	27.6519569079081
18/02/2022	18:57:09	432	124.865	27.6545639038086
18/02/2022	18:57:09	702	125.135	27.6733275095622
18/02/2022	18:57:09	972	125.405	27.6498218854268
18/02/2022	18:57:10	243	125.676	27.6326793670654
18/02/2022	18:57:10	783	126.216	27.6593865394592
18/02/2022	18:57:11	053	126.486	27.6665820757548
18/02/2022	18:57:11	324	126.757	27.6899168014526
18/02/2022	18:57:11	594	127.027	27.641189066569
18/02/2022	18:57:11	864	127.297	27.6565889994303
18/02/2022	18:57:12	135	127.568	27.669913927714
18/02/2022	18:57:12	405	127.838	27.6912675221761
18/02/2022	18:57:12	675	128.108	27.7059050877889
18/02/2022	18:57:13	216	128.649	27.6682699203491
18/02/2022	18:57:13	486	128.919	27.7127538998922
18/02/2022	18:57:13	756	129.189	27.7464622179667
18/02/2022	18:57:14	026	129.459	27.8139470736186
18/02/2022	18:57:14	297	129.73	27.7737381299337
18/02/2022	18:57:14	567	130	27.857896455129
18/02/2022	18:57:14	837	130.27	27.7928506215413
18/02/2022	18:57:15	108	130.541	27.7879842758179
18/02/2022	18:57:15	378	130.811	27.7969000498454
18/02/2022	18:57:15	918	131.351	27.8135615666707
18/02/2022	18:57:16	189	131.622	27.8418769836426
18/02/2022	18:57:16	459	131.892	27.8364188512166
18/02/2022	18:57:16	729	132.162	27.812334950765
18/02/2022	18:57:16	999	132.432	27.854115263621
18/02/2022	18:57:17	270	132.703	27.8630431175232
18/02/2022	18:57:17	540	132.973	27.8007736841838
18/02/2022	18:57:18	080	133.513	27.884548441569
18/02/2022	18:57:18	351	133.784	27.8698946634928
18/02/2022	18:57:18	621	134.054	27.9417277336121
18/02/2022	18:57:18	891	134.324	27.931399567922
18/02/2022	18:57:19	162	134.595	27.9681786855062
18/02/2022	18:57:19	432	134.865	28.0118029912313
18/02/2022	18:57:19	702	135.135	28.0593627611796
18/02/2022	18:57:19	972	135.405	28.0580425898234
18/02/2022	18:57:20	513	135.946	28.0704194068909
18/02/2022	18:57:20	783	136.216	28.0192236264547
18/02/2022	18:57:21	053	136.486	28.0358973185221
18/02/2022	18:57:21	324	136.757	28.0584766705831
18/02/2022	18:57:21	594	137.027	28.130187702179
18/02/2022	18:57:21	864	137.297	28.1185238202413
18/02/2022	18:57:22	135	137.568	28.09887342453
18/02/2022	18:57:22	405	137.838	28.131832186381
18/02/2022	18:57:22	945	138.378	28.179424126943
18/02/2022	18:57:23	216	138.649	28.1633500417074
18/02/2022	18:57:23	486	138.919	28.2033172607422
18/02/2022	18:57:23	756	139.189	28.1821034113566
18/02/2022	18:57:24	026	139.459	28.0714860916138
18/02/2022	18:57:24	297	139.73	28.0637138684591
18/02/2022	18:57:24	567	140	28.0917613665263
18/02/2022	18:57:25	108	140.541	28.0947339057922
18/02/2022	18:57:25	378	140.811	28.1512367248535
18/02/2022	18:57:25	648	141.081	28.1117982546488
18/02/2022	18:57:25	918	141.351	28.1123555819194
18/02/2022	18:57:26	189	141.622	28.1502634048462
18/02/2022	18:57:26	459	141.892	28.1630018552144
18/02/2022	18:57:26	729	142.162	28.0841407457987
18/02/2022	18:57:26	999	142.432	28.0972809155782
18/02/2022	18:57:27	270	142.703	28.1575236320496
18/02/2022	18:57:27	540	142.973	28.2160117467244
18/02/2022	18:57:28	080	143.513	28.1738770167033
18/02/2022	18:57:28	351	143.784	28.1455565134684
18/02/2022	18:57:28	621	144.054	28.1571034431458
18/02/2022	18:57:28	891	144.324	28.2643046696981
18/02/2022	18:57:29	162	144.595	28.2550093015035
18/02/2022	18:57:29	432	144.865	28.2066965738932
18/02/2022	18:57:29	702	145.135	28.1699083328247
18/02/2022	18:57:30	243	145.676	28.2202225049337
18/02/2022	18:57:30	513	145.946	28.210006459554
18/02/2022	18:57:30	783	146.216	28.1523453712463
18/02/2022	18:57:31	053	146.486	28.2253693898519
18/02/2022	18:57:31	324	146.757	28.1830266316732
18/02/2022	18:57:31	594	147.027	28.2465284665426
18/02/2022	18:57:32	135	147.568	28.2401134173075
18/02/2022	18:57:32	405	147.838	28.2502637545268
18/02/2022	18:57:32	675	148.108	28.29108654658
18/02/2022	18:57:32	945	148.378	28.2353396097819
18/02/2022	18:57:33	216	148.649	28.3037356694539
18/02/2022	18:57:33	486	148.919	28.3236281394958
18/02/2022	18:57:34	026	149.459	28.3040836334229
18/02/2022	18:57:34	297	149.73	28.3037089665731
18/02/2022	18:57:34	567	150	28.3431931177775
18/02/2022	18:57:34	837	150.27	28.3312862714132
18/02/2022	18:57:35	108	150.541	28.3185182889303
18/02/2022	18:57:35	378	150.811	28.3377718607585
18/02/2022	18:57:35	918	151.351	28.3582249641418
18/02/2022	18:57:36	189	151.622	28.3879019737244
18/02/2022	18:57:36	459	151.892	28.3951633135478
18/02/2022	18:57:36	729	152.162	28.4150376955668
18/02/2022	18:57:36	999	152.432	28.4182799021403
18/02/2022	18:57:37	270	152.703	28.4377794265747
18/02/2022	18:57:37	810	153.243	28.4468283335368
18/02/2022	18:57:38	080	153.513	28.4600990931193
18/02/2022	18:57:38	351	153.784	28.4267906506856
18/02/2022	18:57:38	621	154.054	28.4071403185527
18/02/2022	18:57:38	891	154.324	28.4146461168925
18/02/2022	18:57:39	432	154.865	28.4085273742676
18/02/2022	18:57:39	702	155.135	28.4803181012472
18/02/2022	18:57:39	972	155.405	28.4406105995178
